participant_id,n_items,n_appropriate,n_inappropriate,max_observed_run,same_word_gap_requested,same_word_gap_used,same_word_gap_violations,attempts,status
sim-0166,40,20,20,2,8,8,0,25,requested_constraints_satisfied
sim-0167,40,20,20,2,8,8,0,4,requested_constraints_satisfied
sim-0168,40,20,20,2,8,8,0,35,requested_constraints_satisfied
sim-0169,40,20,20,2,8,8,0,1,requested_constraints_satisfied
sim-0170,40,20,20,2,8,8,0,2,requested_constraints_satisfied
sim-0171,40,20,20,2,8,8,0,3,requested_constraints_satisfied
sim-0172,40,20,20,2,8,8,0,23,requested_constraints_satisfied
sim-0173,40,20,20,2,8,8,0,27,requested_constraints_satisfied
sim-0174,40,20,20,2,8,8,0,5,requested_constraints_satisfied
sim-0175,40,20,20,2,8,8,0,55,requested_constraints_satisfied
sim-0176,40,20,20,2,8,8,0,31,requested_constraints_satisfied
sim-0177,40,20,20,2,8,8,0,10,requested_constraints_satisfied
sim-0178,40,20,20,2,8,8,0,34,requested_constraints_satisfied
sim-0179,40,20,20,2,8,8,0,11,requested_constraints_satisfied
sim-0180,40,20,20,2,8,8,0,3,requested_constraints_satisfied
sim-0181,40,20,20,2,8,8,0,1,requested_constraints_satisfied
sim-0182,40,20,20,2,8,8,0,24,requested_constraints_satisfied
sim-0183,40,20,20,2,8,8,0,54,requested_constraints_satisfied
sim-0184,40,20,20,2,8,8,0,13,requested_constraints_satisfied
sim-0185,40,20,20,2,8,8,0,1,requested_constraints_satisfied
sim-0186,40,20,20,2,8,8,0,7,requested_constraints_satisfied
sim-0187,40,20,20,2,8,8,0,54,requested_constraints_satisfied
sim-0188,40,20,20,2,8,8,0,34,requested_constraints_satisfied
sim-0189,40,20,20,2,8,8,0,9,requested_constraints_satisfied
sim-0190,40,20,20,2,8,8,0,58,requested_constraints_satisfied
sim-0191,40,20,20,2,8,8,0,38,requested_constraints_satisfied
sim-0192,40,20,20,2,8,8,0,6,requested_constraints_satisfied
sim-0193,40,20,20,2,8,8,0,2,requested_constraints_satisfied
sim-0194,40,20,20,2,8,8,0,11,requested_constraints_satisfied
sim-0195,40,20,20,2,8,8,0,26,requested_constraints_satisfied
sim-0196,40,20,20,2,8,8,0,8,requested_constraints_satisfied
sim-0197,40,20,20,2,8,8,0,9,requested_constraints_satisfied
sim-0198,40,20,20,2,8,8,0,55,requested_constraints_satisfied
sim-0199,40,20,20,2,8,8,0,47,requested_constraints_satisfied
sim-0200,40,20,20,2,8,8,0,13,requested_constraints_satisfied
sim-0201,40,20,20,2,8,8,0,5,requested_constraints_satisfied
sim-0202,40,20,20,2,8,8,0,15,requested_constraints_satisfied
sim-0203,40,20,20,2,8,8,0,12,requested_constraints_satisfied
sim-0204,40,20,20,2,8,8,0,34,requested_constraints_satisfied
sim-0205,40,20,20,2,8,8,0,26,requested_constraints_satisfied
sim-0206,40,20,20,2,8,8,0,2,requested_constraints_satisfied
sim-0207,40,20,20,2,8,8,0,16,requested_constraints_satisfied
sim-0208,40,20,20,2,8,8,0,49,requested_constraints_satisfied
